Region,Year,Unemployment_Rate,City_Map
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2016,7.1499999999999995,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2017,6.316666666666666,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2018,5.558333333333334,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2019,5.408333333333334,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2020,10.741666666666667,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2021,8.091666666666667,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2022,5.375,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2023,5.325,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2024,4.833333333333333,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2025,6.075,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
"Bas-Saint-Laurent, Quebec",2015,7.991666666666667,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2016,7.991666666666667,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2017,6.766666666666667,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2018,5.458333333333333,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2019,5.508333333333333,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2020,7.7250000000000005,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2021,5.383333333333333,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2022,4.95,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2023,4.541666666666667,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2024,4.408333333333333,Bas-Saint-Laurent
"Bas-Saint-Laurent, Quebec",2025,5.1000000000000005,Bas-Saint-Laurent
British Columbia,2015,6.083333333333333,British Columbia
British Columbia,2016,6.108333333333333,British Columbia
British Columbia,2017,5.391666666666667,British Columbia
British Columbia,2018,4.683333333333334,British Columbia
British Columbia,2019,4.791666666666667,British Columbia
British Columbia,2020,8.933333333333334,British Columbia
British Columbia,2021,6.75,British Columbia
British Columbia,2022,4.75,British Columbia
British Columbia,2023,5.1000000000000005,British Columbia
British Columbia,2024,5.533333333333334,British Columbia
British Columbia,2025,6.158333333333334,British Columbia
"Calgary, Alberta",2015,6.166666666666667,Calgary
"Calgary, Alberta",2016,9.041666666666666,Calgary
"Calgary, Alberta",2017,8.866666666666667,Calgary
"Calgary, Alberta",2018,7.583333333333333,Calgary
"Calgary, Alberta",2019,7.1000000000000005,Calgary
"Calgary, Alberta",2020,11.358333333333334,Calgary
"Calgary, Alberta",2021,9.241666666666667,Calgary
"Calgary, Alberta",2022,6.25,Calgary
"Calgary, Alberta",2023,6.05,Calgary
"Calgary, Alberta",2024,7.266666666666667,Calgary
"Calgary, Alberta",2025,7.458333333333333,Calgary
"Campbellton-Miramichi, New Brunswick",2015,15.891666666666666,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2016,16.066666666666666,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2017,14.258333333333333,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2018,12.783333333333333,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2019,13.65,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2020,14.691666666666668,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2021,13.566666666666668,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2022,11.674999999999999,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2023,10.891666666666666,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2024,12.133333333333333,Campbellton-Miramichi
"Campbellton-Miramichi, New Brunswick",2025,10.5,Campbellton-Miramichi
"Camrose-Drumheller, Alberta",2015,4.441666666666666,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2016,7.3500000000000005,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2017,7.991666666666667,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2018,4.716666666666667,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2019,6.308333333333334,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2020,10.616666666666665,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2021,8.333333333333334,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2022,5.308333333333334,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2023,4.166666666666667,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2024,4.575,Camrose-Drumheller
"Camrose-Drumheller, Alberta",2025,5.466666666666666,Camrose-Drumheller
Canada,2015,6.958333333333333,Canada
Canada,2016,7.091666666666666,Canada
Canada,2017,6.5249999999999995,Canada
Canada,2018,5.875,Canada
Canada,2019,5.691666666666666,Canada
Canada,2020,9.441666666666666,Canada
Canada,2021,7.741666666666667,Canada
Canada,2022,5.3500000000000005,Canada
Canada,2023,5.325,Canada
Canada,2024,6.258333333333333,Canada
Canada,2025,6.808333333333334,Canada
"Cape Breton, Nova Scotia",2015,15.924999999999999,Cape Breton
"Cape Breton, Nova Scotia",2016,15.174999999999999,Cape Breton
"Cape Breton, Nova Scotia",2017,14.525,Cape Breton
"Cape Breton, Nova Scotia",2018,15.625,Cape Breton
"Cape Breton, Nova Scotia",2019,14.641666666666666,Cape Breton
"Cape Breton, Nova Scotia",2020,15.208333333333334,Cape Breton
"Cape Breton, Nova Scotia",2021,13.475,Cape Breton
"Cape Breton, Nova Scotia",2022,11.791666666666666,Cape Breton
"Cape Breton, Nova Scotia",2023,11.133333333333333,Cape Breton
"Cape Breton, Nova Scotia",2024,10.1,Cape Breton
"Cape Breton, Nova Scotia",2025,10.1,Cape Breton
"Capitale-Nationale, Quebec",2015,4.808333333333334,Capitale-Nationale
"Capitale-Nationale, Quebec",2016,4.658333333333333,Capitale-Nationale
"Capitale-Nationale, Quebec",2017,4.708333333333333,Capitale-Nationale
"Capitale-Nationale, Quebec",2018,4.008333333333334,Capitale-Nationale
"Capitale-Nationale, Quebec",2019,3.408333333333333,Capitale-Nationale
"Capitale-Nationale, Quebec",2020,7.066666666666666,Capitale-Nationale
"Capitale-Nationale, Quebec",2021,5.0,Capitale-Nationale
"Capitale-Nationale, Quebec",2022,3.6916666666666664,Capitale-Nationale
"Capitale-Nationale, Quebec",2023,2.9,Capitale-Nationale
"Capitale-Nationale, Quebec",2024,4.125,Capitale-Nationale
"Capitale-Nationale, Quebec",2025,4.5,Capitale-Nationale
"Cariboo, British Columbia",2015,6.758333333333333,Cariboo
"Cariboo, British Columbia",2016,7.491666666666667,Cariboo
"Cariboo, British Columbia",2017,7.666666666666667,Cariboo
"Cariboo, British Columbia",2018,5.9750000000000005,Cariboo
"Cariboo, British Columbia",2019,6.533333333333334,Cariboo
"Cariboo, British Columbia",2020,10.091666666666667,Cariboo
"Cariboo, British Columbia",2021,6.858333333333333,Cariboo
"Cariboo, British Columbia",2022,4.833333333333333,Cariboo
"Cariboo, British Columbia",2023,6.958333333333333,Cariboo
"Cariboo, British Columbia",2024,5.441666666666666,Cariboo
"Cariboo, British Columbia",2025,7.391666666666667,Cariboo
"Centre-du-Québec, Quebec",2015,7.325,Centre-du-Québec
"Centre-du-Québec, Quebec",2016,5.783333333333334,Centre-du-Québec
"Centre-du-Québec, Quebec",2017,5.716666666666666,Centre-du-Québec
"Centre-du-Québec, Quebec",2018,4.941666666666667,Centre-du-Québec
"Centre-du-Québec, Quebec",2019,4.3999999999999995,Centre-du-Québec
"Centre-du-Québec, Quebec",2020,6.083333333333333,Centre-du-Québec
"Centre-du-Québec, Quebec",2021,5.466666666666666,Centre-du-Québec
"Centre-du-Québec, Quebec",2022,2.558333333333333,Centre-du-Québec
"Centre-du-Québec, Quebec",2023,2.408333333333333,Centre-du-Québec
"Centre-du-Québec, Quebec",2024,3.8000000000000003,Centre-du-Québec
"Centre-du-Québec, Quebec",2025,4.416666666666667,Centre-du-Québec
"Chaudière-Appalaches, Quebec",2015,5.291666666666667,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2016,5.783333333333334,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2017,3.8000000000000003,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2018,3.158333333333333,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2019,3.3249999999999997,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2020,5.875,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2021,3.6166666666666667,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2022,2.1416666666666666,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2023,2.3583333333333334,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2024,2.733333333333333,Chaudière-Appalaches
"Chaudière-Appalaches, Quebec",2025,3.35,Chaudière-Appalaches
"Côte-Nord and Nord-du-Québec, Quebec",2015,10.325000000000001,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2016,8.791666666666666,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2017,6.1000000000000005,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2018,5.208333333333333,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2019,4.7749999999999995,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2020,7.7749999999999995,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2021,4.416666666666667,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2022,4.6000000000000005,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2023,3.185714285714286,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2024,4.3500000000000005,Côte-Nord and Nord-du-Québec
"Côte-Nord and Nord-du-Québec, Quebec",2025,4.408333333333333,Côte-Nord and Nord-du-Québec
"Edmonton, Alberta",2015,5.816666666666666,Edmonton
"Edmonton, Alberta",2016,7.341666666666666,Edmonton
"Edmonton, Alberta",2017,8.383333333333333,Edmonton
"Edmonton, Alberta",2018,6.483333333333333,Edmonton
"Edmonton, Alberta",2019,7.075,Edmonton
"Edmonton, Alberta",2020,11.625,Edmonton
"Edmonton, Alberta",2021,9.15,Edmonton
"Edmonton, Alberta",2022,6.0,Edmonton
"Edmonton, Alberta",2023,6.0,Edmonton
"Edmonton, Alberta",2024,7.408333333333334,Edmonton
"Edmonton, Alberta",2025,7.666666666666667,Edmonton
"Edmundston-Woodstock, New Brunswick",2015,9.766666666666667,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2016,7.166666666666667,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2017,7.291666666666667,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2018,6.591666666666666,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2019,7.2250000000000005,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2020,8.483333333333333,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2021,6.75,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2022,5.5249999999999995,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2023,5.241666666666666,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2024,6.508333333333333,Edmundston-Woodstock
"Edmundston-Woodstock, New Brunswick",2025,5.358333333333333,Edmundston-Woodstock
"Estrie, Quebec",2015,6.458333333333333,Estrie
"Estrie, Quebec",2016,6.45,Estrie
"Estrie, Quebec",2017,5.091666666666667,Estrie
"Estrie, Quebec",2018,4.683333333333334,Estrie
"Estrie, Quebec",2019,4.141666666666667,Estrie
"Estrie, Quebec",2020,6.8500000000000005,Estrie
"Estrie, Quebec",2021,5.616666666666667,Estrie
"Estrie, Quebec",2022,3.408333333333333,Estrie
"Estrie, Quebec",2023,4.3500000000000005,Estrie
"Estrie, Quebec",2024,4.575,Estrie
"Estrie, Quebec",2025,4.816666666666666,Estrie
"Fredericton-Oromocto, New Brunswick",2015,8.525,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2016,8.358333333333333,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2017,6.6499999999999995,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2018,7.5,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2019,6.9750000000000005,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2020,9.008333333333333,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2021,7.683333333333334,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2022,5.9750000000000005,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2023,5.358333333333333,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2024,5.9750000000000005,Fredericton-Oromocto
"Fredericton-Oromocto, New Brunswick",2025,6.425,Fredericton-Oromocto
"Gaspésie-Îles-de-la-Madeleine, Quebec",2015,15.566666666666668,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2016,15.333333333333334,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2017,12.508333333333333,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2018,13.433333333333332,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2019,13.041666666666666,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2020,13.299999999999999,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2021,12.558333333333332,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2022,10.841666666666667,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2023,7.7749999999999995,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2024,8.575000000000001,Gaspésie-Îles-de-la-Madeleine
"Gaspésie-Îles-de-la-Madeleine, Quebec",2025,9.291666666666666,Gaspésie-Îles-de-la-Madeleine
"Halifax, Nova Scotia",2015,6.258333333333333,Halifax
"Halifax, Nova Scotia",2016,6.033333333333334,Halifax
"Halifax, Nova Scotia",2017,6.8500000000000005,Halifax
"Halifax, Nova Scotia",2018,6.291666666666667,Halifax
"Halifax, Nova Scotia",2019,5.633333333333333,Halifax
"Halifax, Nova Scotia",2020,8.85,Halifax
"Halifax, Nova Scotia",2021,7.6499999999999995,Halifax
"Halifax, Nova Scotia",2022,5.041666666666667,Halifax
"Halifax, Nova Scotia",2023,5.491666666666667,Halifax
"Halifax, Nova Scotia",2024,5.408333333333334,Halifax
"Halifax, Nova Scotia",2025,5.608333333333333,Halifax
"Hamilton-Niagara Peninsula, Ontario",2015,6.0,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2016,6.466666666666666,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2017,5.516666666666667,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2018,5.641666666666667,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2019,4.825,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2020,9.058333333333334,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2021,8.075000000000001,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2022,5.083333333333333,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2023,5.291666666666667,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2024,6.558333333333334,Hamilton-Niagara Peninsula
"Hamilton-Niagara Peninsula, Ontario",2025,6.925,Hamilton-Niagara Peninsula
"Interlake, Manitoba",2015,4.916666666666667,Interlake
"Interlake, Manitoba",2016,6.558333333333334,Interlake
"Interlake, Manitoba",2017,4.258333333333334,Interlake
"Interlake, Manitoba",2018,5.866666666666667,Interlake
"Interlake, Manitoba",2019,5.308333333333334,Interlake
"Interlake, Manitoba",2020,7.075,Interlake
"Interlake, Manitoba",2021,5.9750000000000005,Interlake
"Interlake, Manitoba",2022,4.816666666666666,Interlake
"Interlake, Manitoba",2023,4.7,Interlake
"Interlake, Manitoba",2024,4.708333333333333,Interlake
"Interlake, Manitoba",2025,5.55,Interlake
"Kingston-Pembroke, Ontario",2015,7.283333333333334,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2016,6.491666666666667,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2017,5.875,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2018,5.091666666666667,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2019,5.741666666666667,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2020,8.583333333333334,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2021,7.708333333333333,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2022,4.375,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2023,5.058333333333334,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2024,5.291666666666667,Kingston-Pembroke
"Kingston-Pembroke, Ontario",2025,6.508333333333333,Kingston-Pembroke
"Kitchener-Waterloo-Barrie, Ontario",2015,5.3999999999999995,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2016,5.366666666666667,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2017,5.016666666666667,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2018,4.891666666666667,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2019,5.108333333333333,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2020,8.566666666666666,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2021,7.333333333333333,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2022,5.133333333333334,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2023,5.258333333333334,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2024,6.266666666666667,Kitchener-Waterloo-Barrie
"Kitchener-Waterloo-Barrie, Ontario",2025,6.983333333333333,Kitchener-Waterloo-Barrie
"Kootenay, British Columbia",2015,8.258333333333333,Kootenay
"Kootenay, British Columbia",2016,8.616666666666667,Kootenay
"Kootenay, British Columbia",2017,7.8,Kootenay
"Kootenay, British Columbia",2018,6.233333333333333,Kootenay
"Kootenay, British Columbia",2019,5.233333333333333,Kootenay
"Kootenay, British Columbia",2020,9.475,Kootenay
"Kootenay, British Columbia",2021,6.016666666666667,Kootenay
"Kootenay, British Columbia",2022,4.6000000000000005,Kootenay
"Kootenay, British Columbia",2023,5.0,Kootenay
"Kootenay, British Columbia",2024,5.866666666666667,Kootenay
"Kootenay, British Columbia",2025,5.858333333333333,Kootenay
"Lanaudière, Quebec",2015,8.133333333333333,Lanaudière
"Lanaudière, Quebec",2016,6.55,Lanaudière
"Lanaudière, Quebec",2017,6.1000000000000005,Lanaudière
"Lanaudière, Quebec",2018,5.541666666666667,Lanaudière
"Lanaudière, Quebec",2019,4.058333333333334,Lanaudière
"Lanaudière, Quebec",2020,7.491666666666667,Lanaudière
"Lanaudière, Quebec",2021,5.183333333333334,Lanaudière
"Lanaudière, Quebec",2022,4.808333333333334,Lanaudière
"Lanaudière, Quebec",2023,4.875,Lanaudière
"Lanaudière, Quebec",2024,5.541666666666667,Lanaudière
"Lanaudière, Quebec",2025,4.758333333333334,Lanaudière
"Laurentides, Quebec",2015,6.883333333333333,Laurentides
"Laurentides, Quebec",2016,6.158333333333334,Laurentides
"Laurentides, Quebec",2017,5.841666666666666,Laurentides
"Laurentides, Quebec",2018,5.7,Laurentides
"Laurentides, Quebec",2019,4.458333333333333,Laurentides
"Laurentides, Quebec",2020,10.383333333333335,Laurentides
"Laurentides, Quebec",2021,5.75,Laurentides
"Laurentides, Quebec",2022,3.8000000000000003,Laurentides
"Laurentides, Quebec",2023,3.591666666666667,Laurentides
"Laurentides, Quebec",2024,3.9583333333333335,Laurentides
"Laurentides, Quebec",2025,4.083333333333333,Laurentides
"Laval, Quebec",2015,7.708333333333333,Laval
"Laval, Quebec",2016,7.45,Laval
"Laval, Quebec",2017,6.7250000000000005,Laval
"Laval, Quebec",2018,5.3,Laval
"Laval, Quebec",2019,4.691666666666666,Laval
"Laval, Quebec",2020,8.125,Laval
"Laval, Quebec",2021,7.2,Laval
"Laval, Quebec",2022,4.408333333333333,Laval
"Laval, Quebec",2023,5.558333333333334,Laval
"Laval, Quebec",2024,5.883333333333333,Laval
"Laval, Quebec",2025,6.541666666666667,Laval
"Lethbridge-Medicine Hat, Alberta",2015,4.758333333333334,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2016,6.791666666666667,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2017,5.55,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2018,4.991666666666666,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2019,6.008333333333333,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2020,8.208333333333334,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2021,7.358333333333333,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2022,4.741666666666666,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2023,5.2250000000000005,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2024,6.333333333333333,Lethbridge-Medicine Hat
"Lethbridge-Medicine Hat, Alberta",2025,6.808333333333334,Lethbridge-Medicine Hat
"London, Ontario",2015,6.125,London
"London, Ontario",2016,6.158333333333334,London
"London, Ontario",2017,5.7250000000000005,London
"London, Ontario",2018,5.8500000000000005,London
"London, Ontario",2019,5.391666666666667,London
"London, Ontario",2020,8.066666666666666,London
"London, Ontario",2021,8.025,London
"London, Ontario",2022,5.483333333333333,London
"London, Ontario",2023,5.2749999999999995,London
"London, Ontario",2024,6.166666666666667,London
"London, Ontario",2025,6.25,London
"Lower Mainland-Southwest, British Columbia",2015,5.875,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2016,5.591666666666666,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2017,4.758333333333334,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2018,4.091666666666667,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2019,4.683333333333334,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2020,9.033333333333333,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2021,6.983333333333333,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2022,4.758333333333334,Lower Mainland-Southwest
"Lower Mainland-Southwest, British Columbia",2023,5.383333333333333,Lower Mainland-Southwest
